tag,word
MONTH,တန်ခူး
MONTH,ကဆုန်
MONTH,နယုန်
MONTH,ဝါဆို
MONTH,ဝါခေါင်
MONTH,တော်သလင်း
MONTH,သီတင်းကျွတ်
MONTH,တန်ဆောင်မုန်း
MONTH,နတ်တော်
MONTH,ပြာသို
MONTH,တပို့တွဲ
MONTH,တပေါင်း
MONTH,ဇန်နဝါရီ
MONTH,ဖေဖော်ဝါရီ
MONTH,မတ်
MONTH,ဧပြီ
MONTH,မေ
MONTH,ဇွန်
MONTH,ဇူလိုင်
MONTH,ဩဂုတ်
MONTH,စက်တင်ဘာ
MONTH,အောက်တိုဘာ
MONTH,နိုဝင်ဘာ
MONTH,ဒီဇင်ဘာ
MONTH,နွေရာသီ
MONTH,မိုးရာသီ
MONTH,ဆောင်းရာသီ
DAY,တနင်္လာ
DAY,အင်္ဂါ
DAY,ဗုဒ္ဓဟူး
DAY,ကြာသပတေး
DAY,သောကြာ
DAY,စနေ
DAY,တနင်္ဂနွေ
DAY,လပြည့်နေ့
DAY,လပြည့်ကျော်တရက်နေ့
